Nome,Ruolo,Squadra,Quotazione
Meret,Por,Napoli,19
Svilar,Por,Roma,16
Milinkovic-Savic V.,Por,Torino,16
De Gea,Por,Fiorentina,16
Carnesecchi,Por,Atalanta,15
Sommer,Por,Inter,15
Di Gregorio,Por,Juventus,14
Maignan,Por,Milan,14
Caprile,Por,Cagliari,14
Skorupski,Por,Bologna,13
Leali,Por,Genoa,13
Mandas,Por,Lazio,12
Falcone,Por,Lecce,11
Suzuki,Por,Parma,11
Vasquez D.,Por,Empoli,10
Turati,Por,Monza,10
Butez,Por,Como,10
Martinez Jo.,Por,Inter,8
Okoye,Por,Udinese,8
Montipo',Por,Verona,8
Stankovic F.,Por,Venezia,8
Radu I.,Por,Venezia,8
Provedel,Por,Lazio,7
Ravaglia F.,Por,Bologna,6
Sava,Por,Udinese,4
Reina,Por,Como,3
Sommariva,Por,Genoa,3
Terracciano,Por,Fiorentina,2
Perin,Por,Juventus,2
Sportiello,Por,Milan,2
Joronen,Por,Venezia,2
Perilli,Por,Verona,2
Pizzignacco,Por,Monza,2
Siegrist,Por,Genoa,2
Rossi F.,Por,Atalanta,1
Bagnolini,Por,Bologna,1
Scuffet,Por,Napoli,1
Sherri,Por,Cagliari,1
Vigorito,Por,Como,1
Martinelli T.,Por,Fiorentina,1
Gollini,Por,Roma,1
Di Gennaro,Por,Inter,1
Pinsoglio,Por,Juventus,1
Furlanetto,Por,Lazio,1
Fruchtl,Por,Lecce,1
Samooja,Por,Lecce,1
Nava,Por,Milan,1
Contini,Por,Napoli,1
Corvi,Por,Parma,1
Paleari,Por,Torino,1
Padelli,Por,Udinese,1
Grandi,Por,Venezia,1
Berardi A.,Por,Verona,1
Brancolini,Por,Empoli,1
Ciocci,Por,Cagliari,1
Torriani,Por,Milan,1
Donnarumma An.,Por,Torino,1
Silvestri,Por,Empoli,1
Mazza,Por,Monza,1
Marin Re.,Por,Roma,1
Rui Patricio,Por,Atalanta,1
Seghetti,Por,Empoli,1
Piana,Por,Udinese,1
Marcone,Por,Parma,1
Calligaris,Por,Inter,1
De Marzi,Por,Roma,1
Dimarco,E,Inter,21
Dumfries,E,Inter,19
Zortea,Dd;Ds;E,Cagliari,18
Carlos Augusto,E,Inter,17
Bastoni,Dc,Inter,16
Gosens,E,Fiorentina,16
Di Lorenzo,B;Dd;E,Napoli,15
Zappacosta,E,Atalanta,14
Martin,Ds;E,Genoa,14
Cambiaso,Dd;Ds;E,Juventus,14
Mancini,Dc,Roma,14
Angelino,Ds;E,Roma,14
Dodo',Dd;E,Fiorentina,13
Hernandez T.,Ds;E,Milan,13
Valeri,Ds;E,Parma,13
Bisseck,Dc,Inter,12
Darmian,B;Dd;E,Inter,12
Tavares N.,Ds;E,Lazio,12
Birindelli,Dd;Ds;E,Monza,12
Rrahmani,Dc,Napoli,12
Delprato,B;Dd;E,Parma,12
Bellanova,E,Atalanta,12
Luperto,Dc,Cagliari,11
Vasquez,Ds;Dc,Genoa,11
De Vrij,Dc,Inter,11
Marusic,Dd;Ds;E,Lazio,11
Kyriakopoulos,Ds;E,Monza,11
Buongiorno,Dc,Napoli,11
Spinazzola,E,Napoli,11
Gigot,Dc,Lazio,11
Miranda J.,Ds;E,Bologna,10
Augello,Ds;E,Cagliari,10
Ismajli,Dc,Empoli,10
Cacace,Ds;E,Empoli,10
Pezzella Giu.,Ds;E,Empoli,10
Parisi,Ds;E,Fiorentina,10
Gatti,Dc,Juventus,10
Baschirotto,Dd;Dc,Lecce,10
Gabbia,Dc,Milan,10
N'Dicka,Dc,Roma,10
Mina,Dc,Cagliari,9
Ranieri L.,Ds;Dc,Fiorentina,9
De Winter,Dd;Dc,Genoa,9
Gila,Dc,Lazio,9
Gaspar K.,Dc,Lecce,9
Kalulu,Dd;Dc,Juventus,9
Olivera,B;Ds;E,Napoli,10
Lazaro,E,Torino,9
Kamara H.,Ds;E,Udinese,9
Idzes,Dc,Venezia,9
Pavlovic,Dc,Milan,9
Solet,Dc,Udinese,9
Djimsiti,Dc,Atalanta,8
Ruggeri,E,Atalanta,8
Beukema,Dc,Bologna,8
Zappa,B;Dd;E,Cagliari,8
Viti,Dc,Empoli,8
Acerbi,Dc,Inter,8
Bremer,Dc,Juventus,8
Romagnoli,Dc,Lazio,8
Pellegrini Lu.,Ds;E,Lazio,8
Valenti,Dc,Parma,8
Vojvoda,B;Dd;E,Como,8
Masina,B;Ds;E,Torino,8
Bijol,Dc,Udinese,8
Tchatchoua,Dd;E,Verona,8
Savona,B;Dd;E,Juventus,8
Cuadrado,E,Atalanta,8
Maripan,Dc,Torino,8
Walker,B;Dd;E,Milan,9
Holm,Dd;E,Bologna,7
Lykogiannis,Ds;E,Bologna,7
Comuzzo,Dc,Fiorentina,7
Biraghi,B;Ds;E,Torino,7
Sabelli,Dd;Ds;E,Genoa,7
Pavard,Dd;Dc,Inter,7
Tomori,Dc,Milan,7
Coppola D.,Dc,Verona,7
Haps,Ds;E,Venezia,7
Jimenez A.,Dd;Ds;E,Milan,7
Kolasinac,B;Ds;E,Atalanta,6
Obert,Dc,Cagliari,6
Goldaniga,Dc,Como,6
Zanoli,Dd;E,Genoa,6
Mari',Dc,Fiorentina,6
Coco,Dc,Torino,6
Kabasele,Dc,Udinese,6
Ehizibue,Dd;E,Udinese,6
Emerson Royal,B;Dd;Ds,Milan,6
Leoni,Dc,Parma,6
Kempf,Dc,Como,6
Bradaric,Ds;E,Verona,6
Candè,Ds;Dc,Venezia,6
Kelly L.,Ds;Dc,Juventus,6
Hien,Dc,Atalanta,5
Lucumi',Dc,Bologna,5
De Silvestri,Dd;E,Bologna,5
Moreno Alb.,Ds;E,Como,5
Goglichidze,Dd;Dc,Empoli,5
Pongracic,Dc,Fiorentina,5
Bani,Dc,Genoa,5
Lazzari,Dd;E,Lazio,5
Hysaj,Dd;Ds;E,Lazio,5
Gallo,Ds;E,Lecce,5
Celik,Dd;E,Roma,5
Zemura,Ds;E,Udinese,5
Palomino,Dc,Cagliari,5
Guilbert,B;Dd;Ds,Lecce,5
Schingtienne,Dd;Dc,Venezia,5
Kossounou,Dd;Dc,Atalanta,5
Van Der Brempt,Dd;E,Como,5
Alberto Costa,Dd;E,Juventus,5
Rensch,B;Dd;E,Roma,6
Veiga D.,Dd;E,Lecce,5
Valle,Ds;E,Como,5
Dossena,Dc,Como,4
Walukiewicz,Dc,Torino,4
Ebuehi,Dd;E,Empoli,4
Vogliacco,Dd;Dc,Parma,4
De Sciglio,Dd;Ds;E,Empoli,4
Calabria,Dd;E,Bologna,4
Izzo,Dc,Monza,4
Carboni A.,Ds;Dc,Monza,4
Pereira P.,Dd;E,Monza,4
Balogh,Dc,Parma,4
Kristensen T.,Dc,Udinese,4
Zampano,Dd;Ds;E,Venezia,4
Dawidowicz,Dc,Verona,4
Ghilardi,Dc,Verona,4
Erlic,Dc,Bologna,4
Marianucci,Dc,Empoli,4
Norton-Cuffy,Dd;E,Genoa,4
Dembele' A.,E,Torino,4
Jean,Dc,Lecce,4
Valentini N.,Dc,Verona,4
Nelsson,Dc,Roma,4
Toloi,Dc,Atalanta,3
Marcandalli,Dc,Venezia,3
Casale,Dc,Bologna,3
Thiaw,Dc,Milan,3
Juan Jesus,Ds;Dc,Napoli,3
Palestra,E,Atalanta,3
Pedersen,E,Torino,3
Hummels,Dc,Roma,3
Ahanor,B;Ds;E,Genoa,3
Smolcic I.,B;Dd;E,Como,3
Posch,Dd;Dc,Atalanta,2
Matturro,Dc,Genoa,2
Cabal,B;Ds;E,Juventus,2
Caldirola,Ds;Dc,Monza,2
Marin R.,Dc,Napoli,2
Circati,Dc,Parma,2
Giannetti L.,Dc,Udinese,2
Svoboda,Dc,Venezia,2
Sverko,B;Ds;E,Venezia,2
Frese,Ds;E,Verona,2
Sosa B.,E,Torino,2
Sergi Roberto,E;M,Como,2
Palacios T.,Dc,Monza,2
Sambia,Dd;E,Empoli,2
Bartesaghi,Ds;E,Milan,2
Lovik,Ds;E,Parma,2
Otoa,Dc,Genoa,2
Lekovic,Dc,Monza,2
Tiago Gabriel,Dc,Lecce,2
Brorsson,Dc,Monza,2
Scalvini,Dc,Atalanta,1
Iovine,Dd;E,Como,1
Sala M.,Ds;E,Lecce,1
Patric,Dd;Dc,Lazio,1
Terracciano F.,Dd;E,Milan,1
D'Ambrosio,B;Dd;Ds,Monza,2
Mazzocchi,E,Napoli,1
Osorio,Dc,Parma,1
Sangare' B.,Dd;E,Roma,1
Sazonov,Dc,Empoli,1
Schuurs,Dc,Torino,1
Okou,Dc,Verona,1
Faraoni,Dd;E,Verona,1
Sagrado,Dd;E,Venezia,1
Rouhi,Ds;E,Juventus,1
Abdulhamid,Dd;E,Roma,1
Carboni F.,Ds;E,Venezia,1
Moreno M.,Dc,Fiorentina,1
Daniliuc,Dd;Dc,Verona,1
Toure' I.s.,Dc,Udinese,1
Florenzi,Dd;Ds;E,Milan,1
Jack,Ds;Dc,Como,1
Oyegoke,B;Dd;E,Verona,1
Provstgaard,Dc,Lazio,1
Slotsager,Dc,Verona,1
Salah-Eddine,Ds;E,Roma,1
Scott,Dc,Lecce,1
Luan Patrick,Dc,Verona,1
Orsolini,W,Bologna,36
McTominay,M;C,Napoli,29
Pulisic,T;A,Milan,28
Ndoye,W,Bologna,26
Reijnders,C,Milan,25
Zaccagni,W;A,Lazio,23
Saelemaekers,W,Roma,22
Zambo Anguissa,M;C,Napoli,22
Paz N.,T;A,Como,22
Strefezza,W,Como,20
Calhanoglu,M;C,Inter,20
Barella,C,Inter,19
Thuram K.,M;C,Juventus,19
Weah,W,Juventus,18
Mandragora,M;C,Fiorentina,17
Nicolussi Caviglia,M;C,Venezia,17
Vlasic,T,Torino,16
Neres,W;A,Napoli,17
De Roon,M;C,Atalanta,16
Ederson D.s.,M;C,Atalanta,16
Fazzini,C;T,Empoli,16
Adli,M;C,Fiorentina,16
Frattesi,C;T,Inter,15
Politano,W,Napoli,16
Man,W;A,Parma,15
Cristante,M;C,Roma,15
El Shaarawy,W,Roma,15
Oristanio,W;T;A,Venezia,15
Brescianini,M;C,Atalanta,15
Kone' M.,M;C,Roma,15
Diao,W;A,Como,14
Koopmeiners,T,Juventus,14
Da Cunha,W;T,Como,14
Conceicao,W;A,Juventus,14
Freuler,M;C,Bologna,13
Marin,M;C,Cagliari,13
Locatelli,M;C,Juventus,13
Maldini,T;A,Atalanta,13
Hernani,C,Parma,13
Sohm,C,Parma,13
Ellertsson,C;W,Venezia,13
Anjorin,W;T,Empoli,13
Caqueret,C,Como,13
Elmas,W;T,Torino,13
Fabbian,C;T,Bologna,12
Ferguson,C;T,Bologna,12
Mkhitaryan,C,Inter,12
McKennie,M;C,Juventus,12
Cataldi,M;C,Fiorentina,12
Dele-Bashiru,C;T,Lazio,12
Chukwueze,W;A,Milan,11
Gaetano,T,Cagliari,12
Paredes,M;C,Roma,13
Ekkelenkamp,C;T,Udinese,12
Fofana Y.,M;C,Milan,12
Ondrejka,W;A,Parma,11
Pasalic,C;T,Atalanta,11
Colpani,T,Fiorentina,11
Miretti,C;T,Genoa,11
Vecino,M;C,Lazio,11
Guendouzi,C,Lazio,11
Pellegrini Lo.,C;T,Roma,11
Gineitis,C,Torino,11
Samardzic,T,Atalanta,11
Zerbin,E;W,Venezia,11
Casadei,C;T,Torino,12
Ikone',W,Como,10
Frendrup,E;M,Genoa,10
Asllani,M;C,Inter,10
Douglas Luiz,C,Juventus,9
Tete Morente,W,Lecce,10
Pobega,M;C,Bologna,10
Bernabe',C;T,Parma,10
Lovric,C,Udinese,10
Coulibaly L.,M;C,Lecce,10
Sulemana I.,M;C,Atalanta,9
Adopo,M;C,Cagliari,9
Viola,C;T,Cagliari,9
Zielinski,C;T,Inter,9
Rovella,M;C,Lazio,9
Loftus-Cheek,C;T,Milan,9
Lobotka,M;C,Napoli,9
Ricci S.,M;C,Torino,9
Busio,C,Venezia,9
Lazovic,W,Verona,10
Fadera,W;A,Como,9
Perez K.,C;T,Venezia,9
Deiola,M;C,Cagliari,8
Henderson L.,C;T,Empoli,8
Gyasi,W,Empoli,8
Bianco,M;C,Monza,8
Fagioli,C;T,Fiorentina,8
Duda,M;C,Verona,8
Pisilli,C,Roma,8
Helgason,C;T,Lecce,8
Yeboah J.,W;T,Venezia,8
Gilmour,M;C,Napoli,8
Masini,C,Genoa,8
Zaniolo,T;A,Fiorentina,7
Sottil,W,Milan,7
Messias,C;W,Genoa,7
Ramadani,M;C,Lecce,7
Ciurria,E;W,Monza,7
Bove,M;C,Fiorentina,7
Zalewski,W,Inter,7
Baldanzi,T;A,Roma,7
Doumbia I.,M;C,Venezia,7
Hainaut,E;C,Parma,7
Berisha M.,C;T,Lecce,7
Perrone,M;C,Como,7
Atta,M;C,Udinese,7
Cornet,W;A,Genoa,7
Veiga R.,M;C,Juventus,7
Karlsson,W;A,Lecce,5
Makoumbou,M;C,Cagliari,6
Grassi,M;C,Empoli,6
Badelj,M;C,Genoa,6
Malinovskyi,C;T,Genoa,6
Castrovilli,C;T,Monza,6
Payero,C,Udinese,6
Serdar,M;C,Verona,6
Suslov,W;T,Verona,6
Karlstrom,M;C,Udinese,6
Richardson,M;C,Fiorentina,6
Rui Modesto,E;W,Udinese,6
Felici,E;W,Cagliari,5
Pierret,M;C,Lecce,5
Zarraga,M;C,Udinese,5
Kastanos,C;T,Verona,5
Engelhardt,M;C,Como,5
Sensi,C;T,Monza,5
Keita M.,M;C,Parma,5
Venturino,W,Genoa,5
Bernede,M;C,Verona,6
Moro N.,M;C,Bologna,4
Urbanski,C;W;T,Monza,4
Akpa Akpro,M;C,Monza,4
Kaba,M;C,Lecce,4
Musah,C;W,Milan,4
Folorunsho,C;T,Fiorentina,4
Linetty,M;C,Torino,4
Ilic,C,Torino,4
Harroui,W;T,Verona,4
Billing,C;T,Napoli,4
Onana J.,M;C,Genoa,5
Prati,M;C,Cagliari,3
Thorsby,C,Genoa,3
Tchaouna,W,Lazio,3
Maleh,C,Empoli,3
Zeroli,C;T,Monza,3
Bondo,M;C,Milan,3
Camara D.,C;T,Parma,3
Tameze,M;C,Torino,2
Belahyane,M;C,Lazio,3
Martins K.,E;W,Monza,3
Ndour,M;C,Fiorentina,3
Gourna-Douath,M;C,Roma,4
Aebischer,C;T,Bologna,2
Braunoder,M;C,Como,1
Haas,M;C,Empoli,2
Gagliardini,M;C,Monza,2
Pessina,M;C,Monza,2
Forson O.,W;T,Monza,2
Estevez,M;C,Parma,2
Duncan,C,Venezia,2
Bjarkason,C;W,Venezia,2
Zurkowski,C;T,Empoli,2
Kasa,M;C,Genoa,2
Condè,M;C,Venezia,2
Niasse,M;C,Verona,2
Kovalenko,C;T,Empoli,4
Perciun,T,Torino,2
Cacciamani,W;A,Torino,2
El Azzouzi,M;C,Bologna,1
Jankto,E;C,Cagliari,1
Rafia,C;T,Lecce,1
Marchwinski,T,Lecce,1
Vignato S.,T;A,Monza,1
Crnigoj,C,Venezia,1
Adzic,T,Juventus,1
Liberali,W;T,Milan,1
El Haddad,T,Venezia,1
Cassa,C,Atalanta,1
Byar,C;T,Bologna,1
Cisse' A.,W;T,Verona,1
Manzoni,C;T,Atalanta,1
Vos,M;C,Milan,1
Hasa,C;T,Napoli,1
Basic,C,Lazio,1
Pafundi,T;A,Udinese,1
Ibrahimovic A.,W;T,Lazio,1
Alli,T,Como,1
Cuenca H.,W;T,Genoa,1
Retegui,Pc,Atalanta,40
Kean,Pc,Fiorentina,34
Lookman,A,Atalanta,33
Thuram,Pc,Inter,30
Lukaku,Pc,Napoli,30
Martinez L.,Pc,Inter,26
Pedro,A,Lazio,25
Gimenez,Pc,Milan,25
Vlahovic,Pc,Juventus,24
Dovbyk,Pc,Roma,23
Yildiz,A,Juventus,22
Castellanos,Pc,Lazio,22
Leao,A,Milan,22
Soule',W;A,Roma,22
De Ketelaere,A,Atalanta,21
Esposito Se.,A,Empoli,21
Gudmundsson A.,A,Fiorentina,21
Lucca,Pc,Udinese,21
Dia,Pc,Lazio,21
Krstovic,Pc,Lecce,20
Dybala,A,Roma,20
Adams C.,A,Torino,20
Kolo Muani,Pc,Juventus,20
Piccoli,Pc,Cagliari,19
Raspadori,A,Napoli,19
Pinamonti,Pc,Genoa,18
Shomurodov,Pc,Roma,19
Dominguez B.,A,Bologna,19
Odgaard,A,Bologna,18
Castro S.,Pc,Bologna,18
Thauvin,A,Udinese,18
Cutrone,Pc,Como,16
Bonny,Pc,Parma,16
Cambiaghi,A,Bologna,15
Beltran L.,A,Fiorentina,15
Scamacca,Pc,Atalanta,13
Arnautovic,Pc,Inter,14
Colombo,Pc,Empoli,14
Tengstedt,Pc,Verona,14
Gonzalez N.,A,Juventus,13
Isaksen,W;A,Lazio,13
Djuric,Pc,Parma,13
Zapata D.,Pc,Torino,13
Mosquera,Pc,Verona,13
Correa,A,Inter,13
Sarr A.,A,Verona,13
Dallinga,Pc,Bologna,12
Jovic,Pc,Milan,12
Mota,A,Monza,12
Mbangula,A,Juventus,12
Joao Felix,A,Milan,12
Caprari,A,Monza,11
Douvikas,Pc,Como,11
Luvumbo,A,Cagliari,10
Ekuban,A,Genoa,10
Noslin,A,Lazio,10
Pierotti,W;A,Lecce,10
Abraham,Pc,Milan,10
Gytkjaer,Pc,Venezia,9
Keita B.,A,Monza,9
Vitinha O.,Pc,Genoa,8
Bravo,A,Udinese,8
Coman F.,A,Cagliari,8
Fila,Pc,Venezia,8
Pellegrino M.,Pc,Parma,8
Taremi,Pc,Inter,7
Simeone,Pc,Napoli,7
Davis K.,Pc,Udinese,8
Pavoletti,Pc,Cagliari,6
Cancellieri,W;A,Parma,6
Ekhator,Pc,Genoa,6
Karamoh,A,Torino,6
Kouame',A,Empoli,5
Charpentier,Pc,Parma,5
Sanabria,Pc,Torino,5
Rocha Livramento,Pc,Verona,5
Almqvist,W;A,Parma,5
Rebic,A,Lecce,5
Okafor,A,Napoli,4
Pellegri,Pc,Empoli,4
Haj Mohamed,A,Parma,4
N'Dri,W;A,Lecce,4
Ganvoula,Pc,Monza,4
Mihaila,W;A,Parma,3
Brenner,A,Udinese,3
Sanchez,A,Udinese,3
Maric,Pc,Venezia,3
Mutandwa,Pc,Cagliari,2
Gabrielloni,Pc,Como,2
Banda,W;A,Lecce,2
Burnete,Pc,Lecce,2
Camarda,Pc,Milan,2
Ngonge,W;A,Napoli,2
Benedyczak,A,Parma,2
Solbakken,A,Empoli,2
Vlahovic V.,Pc,Atalanta,2
Lambourde,A,Verona,2
Balotelli,Pc,Genoa,2
Milik,Pc,Juventus,1
Petagna,Pc,Monza,1
Pizarro,Pc,Udinese,1
Njie,A,Torino,1
Kowalski,A,Parma,1
Sansone,A,Lecce,1
Pedrola,W;A,Bologna,1
Salama,Pc,Torino,1
Azon,Pc,Como,1
